,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282767,0.10979135,0.3191124,0.023053166,0.17809819,0.016250364,0.3536945
ERR4282768,0.10689597,0.32398444,0.037408344,0.18616365,0.018582612,0.32696494
ERR4282769,0.04282347,0.05302787,0.011519022,0.099696785,0.25460163,0.5383313
ERR4282770,0.07549613,0.023453625,0.82662386,0.009296986,0.04240584,0.02272347
ERR4282771,0.034122914,0.05219549,0.007098532,0.08702364,0.11081929,0.7087401
ERR4282772,0.0048496756,0.012579593,0.022269225,0.016159635,0.909293,0.034848835
ERR4282773,0.046340287,0.08382916,0.010299043,0.12737465,0.099185765,0.6329711
ERR4282774,0.6983284,0.060334776,0.15560406,0.020204531,0.011638467,0.053889874
ERR4282775,0.0749653,0.2561941,0.022782767,0.4583798,0.023133406,0.16454463
ERR4282776,0.73263156,0.05384121,0.08922539,0.028765408,0.020995261,0.07454118
ERR4282777,0.104649894,0.36233163,0.022751026,0.33904624,0.012897862,0.15832333
ERR4282778,0.097651035,0.33649915,0.024031702,0.3371971,0.016890423,0.18773058
ERR4282779,0.022442536,0.03142188,0.52807707,0.0122448355,0.37578338,0.030030249
ERR4282780,0.08648858,0.3256058,0.024813954,0.40217713,0.017632335,0.14328212
ERR4282781,0.7292045,0.04996195,0.08302313,0.028914265,0.02794696,0.08094925
ERR4282782,0.07899113,0.25123376,0.018211467,0.49907717,0.017601952,0.13488443
ERR4282783,0.0047655273,0.0130784195,0.020034814,0.017361969,0.9093894,0.03536982
ERR4282784,0.18309838,0.3053987,0.03645739,0.20430075,0.028604206,0.24214052
ERR4282785,0.0932077,0.32576072,0.027546287,0.33722168,0.020052064,0.19621149
ERR4282786,0.15586478,0.43030772,0.028621713,0.22169219,0.010410641,0.15310298
ERR4282787,0.077040985,0.25550783,0.023138022,0.42596266,0.026974525,0.19137599
ERR4282788,0.18315403,0.03104231,0.69438076,0.013664434,0.02949188,0.048266523
ERR4282789,0.43556178,0.0757479,0.40920612,0.016186872,0.020675587,0.04262173
ERR4282790,0.14894249,0.090131044,0.18531325,0.088760845,0.3503471,0.13650529
ERR4282791,0.42250314,0.27073675,0.06384849,0.1197105,0.011161931,0.112039104
ERR4282792,0.08238386,0.25774035,0.017464526,0.49446148,0.016376749,0.13157307
ERR4282793,0.053986575,0.023597492,0.8665092,0.0070443903,0.032134607,0.016727727
ERR4282794,0.10271738,0.34328514,0.025278723,0.3475595,0.014102321,0.16705698
ERR4282795,0.18445033,0.118427955,0.022317728,0.09341341,0.058878217,0.5225124
ERR4282796,0.049733344,0.046479736,0.02050992,0.085099034,0.53538823,0.26278985
ERR4282797,0.036632057,0.062471397,0.008558005,0.08142425,0.09782327,0.713091
ERR4282798,0.26107916,0.025990017,0.60991246,0.014369348,0.022948625,0.06570038
