,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281928,0.069051884,0.07350476,0.08036145,0.30030188,0.011965562,0.028027967,0.096215196,0.31387678,0.011456285,0.015238242
ERR4281929,0.065669455,0.035653915,0.012468298,0.12539183,0.07566594,0.3728827,0.046908364,0.040636245,0.058515854,0.16620736
ERR4281930,0.057028055,0.05656232,0.08636368,0.26744348,0.0113008665,0.025738712,0.111928195,0.3604475,0.010507905,0.012679275
ERR4281931,0.12537003,0.12291726,0.16208187,0.064311944,0.20052134,0.08505542,0.041677386,0.016082345,0.08550183,0.09648063
ERR4281932,0.07702342,0.5536476,0.034034293,0.19573851,0.01262121,0.041020494,0.047430877,0.01949893,0.004059242,0.014925482
ERR4281933,0.06637078,0.034853753,0.10956478,0.25348094,0.015340588,0.02222112,0.08322088,0.37508607,0.01824239,0.02161863
ERR4281934,0.1576021,0.08267179,0.013853881,0.022875004,0.20959328,0.26712167,0.028241156,0.014988555,0.078834645,0.124217845
ERR4281935,0.06346957,0.042155888,0.092813835,0.27973616,0.011085371,0.021361273,0.07775744,0.3813981,0.013561826,0.016660536
ERR4281936,0.013523956,0.018579764,0.004945131,0.017182305,0.18206044,0.67963755,0.021122139,0.015428375,0.020778049,0.02674228
ERR4281937,0.05537076,0.19921121,0.1427387,0.0414676,0.17170402,0.180329,0.0933773,0.01994854,0.036956962,0.058895957
ERR4281938,0.12409111,0.1490557,0.14943393,0.074484795,0.17524749,0.09126031,0.05036391,0.018286537,0.0726904,0.09508586
ERR4281939,0.13300258,0.39749014,0.023528568,0.07821003,0.05006762,0.2206638,0.024904067,0.030440222,0.018659174,0.023033772
ERR4281940,0.080831416,0.5536295,0.02842787,0.19217372,0.013502998,0.047002576,0.044687986,0.020493051,0.0049046236,0.014346357
ERR4281941,0.038704433,0.02730566,0.012186973,0.006262407,0.37354267,0.41717026,0.026437212,0.014589987,0.05317688,0.030623557
