Unnamed: 0,Env,Contribution,mode
ERR4281835,root:12M,0.39276245,V
ERR4281839,root:12M,0.3927602,V
ERR4281847,root:12M,0.393018,V
ERR4281854,root:12M,0.39278495,V
ERR4281873,root:12M,0.3915168,V
ERR4281879,root:12M,0.39329913,V
ERR4281885,root:12M,0.34407985,V
ERR4281892,root:12M,0.8320121,V
ERR4281902,root:12M,0.18460318,V
ERR4281906,root:12M,0.115043305,V
ERR4281914,root:12M,0.115043305,V
ERR4281930,root:12M,0.115043305,V
ERR4281935,root:12M,0.115043305,V
ERR4281947,root:12M,0.115043305,V
ERR4281953,root:12M,0.115043305,V
ERR4281960,root:12M,0.115043305,V
ERR4281964,root:12M,0.115043305,V
ERR4281968,root:12M,0.115043305,V
ERR4281972,root:12M,0.115043305,V
ERR4281976,root:12M,0.115043305,V
ERR4281987,root:12M,0.115043305,V
ERR4281993,root:12M,0.115043305,V
ERR4281999,root:12M,0.115043305,V
ERR4282009,root:12M,0.115043305,V
ERR4282016,root:12M,0.115043305,V
ERR4282021,root:12M,0.115043305,V
ERR4282026,root:12M,0.39275557,V
ERR4282032,root:12M,0.115043305,V
ERR4282037,root:12M,0.39275664,V
ERR4282054,root:12M,0.115043305,V
ERR4282061,root:12M,0.115043305,V
ERR4282066,root:12M,0.115043305,V
ERR4282070,root:12M,0.39275557,V
ERR4282076,root:12M,0.39276165,V
ERR4282084,root:12M,0.115043305,V
ERR4282091,root:12M,0.115043305,V
ERR4282102,root:12M,0.115043305,V
ERR4282108,root:12M,0.115043305,V
ERR4282113,root:12M,0.115043305,V
ERR4282119,root:12M,0.115043305,V
ERR4282125,root:12M,0.115043305,V
ERR4282147,root:12M,0.115043305,V
ERR4282152,root:12M,0.115043305,V
ERR4282155,root:12M,0.115043305,V
ERR4282159,root:12M,0.115043305,V
ERR4282165,root:12M,0.115043305,V
ERR4282169,root:12M,0.115043305,V
ERR4282174,root:12M,0.115043305,V
ERR4282179,root:12M,0.115043305,V
ERR4282186,root:12M,0.39275557,V
ERR4282190,root:12M,0.115043305,V
ERR4282196,root:12M,0.115043305,V
ERR4282199,root:12M,0.115043305,V
ERR4282203,root:12M,0.115043305,V
ERR4282213,root:12M,0.115043305,V
ERR4282224,root:12M,0.3929382,V
ERR4282226,root:12M,0.115043305,V
ERR4282230,root:12M,0.115043305,V
ERR4282236,root:12M,0.115043305,V
ERR4282241,root:12M,0.115043305,V
ERR4282254,root:12M,0.115043305,V
ERR4282256,root:12M,0.115043305,V
ERR4282260,root:12M,0.115043305,V
ERR4282265,root:12M,0.3927737,V
ERR4282274,root:12M,0.39257464,V
ERR4282281,root:12M,0.115043305,V
ERR4282287,root:12M,0.115043305,V
ERR4282298,root:12M,0.115043305,V
ERR4282301,root:12M,0.115043305,V
ERR4282310,root:12M,0.115043305,V
ERR4282315,root:12M,0.115043305,V
ERR4282321,root:12M,0.39275557,V
ERR4282326,root:12M,0.115043305,V
ERR4282330,root:12M,0.115043305,V
ERR4282336,root:12M,0.115043305,V
ERR4282342,root:12M,0.3927661,V
ERR4282348,root:12M,0.115043305,V
ERR4282361,root:12M,0.115043305,V
ERR4282371,root:12M,0.115043305,V
ERR4282375,root:12M,0.012803652,V
ERR4282386,root:12M,0.115043305,V
ERR4282390,root:12M,0.115043305,V
ERR4282401,root:12M,0.115043305,V
ERR4282410,root:12M,0.115043305,V
ERR4282414,root:12M,0.3421571,V
ERR4282420,root:12M,0.115043305,V
ERR4282430,root:12M,0.39276007,V
ERR4282434,root:12M,0.115043305,V
ERR4282439,root:12M,0.115043305,V
ERR4282441,root:12M,0.115043305,V
ERR4282445,root:12M,0.115043305,V
ERR4282449,root:12M,0.115043305,V
ERR4282455,root:12M,0.115043305,V
ERR4282470,root:12M,0.115043305,V
ERR4282472,root:12M,0.115043305,V
ERR4282476,root:12M,0.115043305,V
ERR4282489,root:12M,0.115043305,V
ERR4282494,root:12M,0.3928108,V
ERR4282499,root:12M,0.115043305,V
ERR4282509,root:12M,0.115043305,V
ERR4282520,root:12M,0.115043305,V
