,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282669,0.09313404,0.11265844,0.09112692,0.12257755,0.067777686,0.17882048,0.118836746,0.09905585,0.022059059,0.093953244
ERR4282670,0.122175,0.092004515,0.058129393,0.054500423,0.25433627,0.111697584,0.04849502,0.07461599,0.13422392,0.049821828
ERR4282671,0.08928838,0.21497226,0.10246204,0.1098598,0.0512901,0.07259252,0.11450175,0.14279686,0.051421147,0.05081508
ERR4282672,0.08924128,0.21540765,0.10282889,0.10963758,0.051269405,0.07223554,0.11427448,0.14291242,0.05153446,0.05065837
ERR4282673,0.08458688,0.09249913,0.06828685,0.14055423,0.047015954,0.18137455,0.15291423,0.1295085,0.019046467,0.084213205
ERR4282674,0.08152232,0.15355475,0.074157864,0.12394609,0.062753245,0.10192103,0.16098157,0.12333648,0.05553852,0.062288087
ERR4282675,0.088779144,0.13552865,0.060502473,0.13669531,0.054688435,0.14566928,0.14891636,0.11767529,0.033296034,0.07824897
ERR4282676,0.09001681,0.2020993,0.09299308,0.115375586,0.05233551,0.08217195,0.12151829,0.13936095,0.049038164,0.055090442
ERR4282677,0.09013502,0.20071103,0.09187317,0.11607891,0.052357763,0.08345913,0.12219985,0.13892867,0.048642065,0.055614445
ERR4282678,0.091577,0.11341433,0.08798668,0.12534983,0.0646263,0.17596601,0.12431528,0.101605766,0.022133896,0.09302489
ERR4282679,0.09028433,0.19598804,0.088581145,0.11801345,0.05269357,0.08719079,0.124744326,0.13753414,0.04776543,0.057204776
ERR4282680,0.088842936,0.21028215,0.100648195,0.11036142,0.052603263,0.07366252,0.11769654,0.14199747,0.052208982,0.05169658
ERR4282681,0.08857132,0.21820642,0.106014915,0.10753642,0.051497225,0.06900333,0.11303915,0.1437799,0.053005524,0.049345884
ERR4282682,0.08918614,0.21541925,0.1029618,0.10952431,0.05133026,0.07206748,0.11430853,0.14294201,0.051652763,0.0506076
ERR4282683,0.13570781,0.10269912,0.05812869,0.060795218,0.22188678,0.1335944,0.045125548,0.0777342,0.11136645,0.05296184
ERR4282684,0.08924934,0.2121244,0.100841515,0.11063599,0.05181037,0.073941156,0.11625221,0.14219542,0.05140101,0.051548664
ERR4282685,0.09051004,0.17730266,0.07593131,0.1256284,0.053526025,0.10376464,0.13440087,0.13129334,0.043879606,0.06376311
ERR4282686,0.090408385,0.18963858,0.08424919,0.120584786,0.053086597,0.092431664,0.12813303,0.13554676,0.046555847,0.059365258
ERR4282687,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282688,0.15837719,0.120315365,0.055016898,0.072479315,0.16146669,0.18044418,0.038418178,0.08201769,0.07461649,0.05684809
ERR4282689,0.08965669,0.2096828,0.09844975,0.11220023,0.051716127,0.076503076,0.11737719,0.14143239,0.050400767,0.05258101
ERR4282690,0.089571215,0.21078134,0.099306315,0.11168928,0.051647216,0.07563632,0.116794094,0.14172973,0.0506442,0.05220032
ERR4282691,0.089904755,0.20513712,0.095120065,0.114146166,0.05207504,0.07992065,0.11984671,0.14020209,0.04955125,0.054096267
ERR4282692,0.08967738,0.20931149,0.0981781,0.112357415,0.051748104,0.07677402,0.11758065,0.14133497,0.05033467,0.05270319
ERR4282693,0.08496728,0.17867441,0.08585769,0.12237725,0.056700535,0.093886815,0.13916275,0.1282316,0.053953186,0.056188483
ERR4282694,0.09018239,0.190024,0.08498287,0.11992973,0.053409696,0.09122045,0.12824312,0.13583596,0.047143623,0.05902813
ERR4282695,0.09027004,0.19692479,0.089204505,0.11765582,0.052613642,0.08648141,0.12422713,0.13780887,0.04791508,0.056898706
ERR4282696,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282697,0.08949585,0.21201377,0.100219585,0.11116084,0.051540244,0.07474339,0.116118155,0.14204727,0.050865714,0.051795125
ERR4282698,0.08808206,0.14829417,0.060084727,0.13415815,0.05565514,0.1290087,0.15130217,0.12038823,0.03993325,0.07309333
ERR4282699,0.08952472,0.20248707,0.094313,0.11422562,0.052929047,0.08027555,0.12180164,0.13974789,0.050165616,0.05452985
ERR4282700,0.09171827,0.14774673,0.058499888,0.13351642,0.05816006,0.14007911,0.1413863,0.11410904,0.038372774,0.076411486
ERR4282701,0.08895903,0.15138194,0.061018538,0.13421589,0.054658867,0.12854087,0.14804614,0.12128199,0.03925261,0.07264409
ERR4282702,0.08947487,0.21238673,0.10049134,0.11100558,0.051504534,0.07448226,0.1159114,0.14214118,0.0509272,0.051674876
ERR4282703,0.0904806,0.17870279,0.07692771,0.124981984,0.053552367,0.10225847,0.13376753,0.13183023,0.044273593,0.06322472
ERR4282704,0.08895353,0.14532693,0.056664683,0.13685487,0.054248117,0.13825926,0.14946389,0.11740845,0.036997113,0.07582314
ERR4282705,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282706,0.09038965,0.19320984,0.08658975,0.119223036,0.052819513,0.089593925,0.12617956,0.13665736,0.047152586,0.058184773
ERR4282707,0.13116752,0.09911104,0.058249153,0.058661737,0.23295984,0.12589075,0.04631607,0.07676417,0.1189145,0.051965237
ERR4282708,0.119086154,0.0905271,0.060266536,0.06434621,0.22722429,0.16868652,0.039461043,0.0765864,0.103186056,0.05062971
ERR4282709,0.14781423,0.105356604,0.05940505,0.06856718,0.17829818,0.18580578,0.04155999,0.07711614,0.0801062,0.055970643
ERR4282710,0.08934429,0.21390814,0.101699956,0.11028618,0.051406197,0.073297314,0.11510029,0.14254147,0.05126729,0.051148776
ERR4282711,0.09105232,0.1193936,0.07629081,0.12994261,0.060355168,0.16552667,0.13492271,0.10971257,0.025347196,0.08745633
ERR4282712,0.089374565,0.21332283,0.10128056,0.11052218,0.051468395,0.0736898,0.11542914,0.14239866,0.05118086,0.05133303
ERR4282713,0.08925234,0.21540004,0.10279906,0.10966186,0.051258083,0.072271936,0.11427078,0.14290528,0.051510572,0.050669968
ERR4282714,0.08967844,0.20460096,0.09529144,0.113847405,0.052442957,0.07949071,0.120389245,0.14020075,0.05000854,0.054049604
ERR4282715,0.09008686,0.17660736,0.076297745,0.12501396,0.05422079,0.102647364,0.13550551,0.13133666,0.044684038,0.06359966
ERR4282716,0.09042811,0.19141525,0.085358776,0.1199564,0.05292324,0.09109756,0.1271279,0.13609155,0.046799477,0.058801737
ERR4282717,0.08947379,0.21209167,0.100316375,0.111092724,0.051553797,0.07463463,0.11608959,0.14207615,0.050916795,0.051754523
ERR4282718,0.08967668,0.20783237,0.09728064,0.112814814,0.051975273,0.07759992,0.11846458,0.14098918,0.050246723,0.05311983
ERR4282719,0.068572074,0.1327083,0.08305528,0.097235665,0.09196256,0.06441035,0.19149156,0.12251873,0.09208564,0.055959836
ERR4282720,0.044409454,0.037216723,0.056828283,0.040524848,0.4063348,0.10965336,0.030337632,0.057952866,0.1884436,0.028298467
ERR4282721,0.08988628,0.2032362,0.093990795,0.114716075,0.052365515,0.081002995,0.120988615,0.13973993,0.049436666,0.054636873
ERR4282722,0.036657915,0.04650091,0.08284345,0.051105216,0.24231504,0.056852352,0.06050363,0.13676298,0.26692536,0.019533146
ERR4282723,0.08921144,0.15275827,0.06138237,0.1342621,0.054200973,0.12804714,0.14698036,0.12175238,0.03912541,0.072279595
ERR4282724,0.096177384,0.13322555,0.07921441,0.09755785,0.13690235,0.15981446,0.0746769,0.086596064,0.06723585,0.06859921
ERR4282725,0.09668231,0.07073,0.0633097,0.061057854,0.25739443,0.18534051,0.038158793,0.07129129,0.10983864,0.04619646
ERR4282726,0.037576705,0.04407481,0.078355215,0.049037203,0.24864484,0.057723578,0.055650294,0.13662937,0.2736782,0.01862988
ERR4282727,0.09036564,0.17438029,0.07423936,0.1265738,0.05376172,0.10615243,0.13606055,0.13028319,0.043483097,0.06469991
ERR4282728,0.089243054,0.21433489,0.10218517,0.10995757,0.051450785,0.07277914,0.114921026,0.14268357,0.05149871,0.050946128
ERR4282729,0.1518542,0.11495208,0.04927041,0.08656038,0.12769385,0.18826738,0.05151078,0.10351293,0.06885181,0.057526216
ERR4282730,0.09036213,0.19157496,0.0856025,0.119751625,0.05300975,0.090716794,0.12713078,0.1361876,0.04697524,0.058688533
ERR4282731,0.090374306,0.1742562,0.074149616,0.12661482,0.053769182,0.106270604,0.13611192,0.13024807,0.043446176,0.06475906
ERR4282732,0.08995421,0.20440793,0.09456275,0.11448186,0.052113835,0.08052151,0.12022743,0.13999271,0.049384475,0.054353252
ERR4282733,0.09000296,0.20343299,0.09385324,0.11490074,0.05218259,0.08128226,0.12075099,0.13971728,0.049193684,0.054683294
ERR4282734,0.09615551,0.12913488,0.07929791,0.091708116,0.1550913,0.16078365,0.06707574,0.08095254,0.07210886,0.067691505
ERR4282735,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282736,0.08933841,0.21432073,0.10195953,0.11015258,0.0513431,0.073070385,0.11485624,0.14263275,0.051293593,0.051032722
ERR4282737,0.0949214,0.14422105,0.05681615,0.1322965,0.059919752,0.14414999,0.13604455,0.116957724,0.03982495,0.07484795
ERR4282738,0.15810055,0.12061941,0.05560607,0.071515135,0.16462456,0.17874068,0.03792381,0.08062284,0.07540104,0.05684596
ERR4282739,0.09662848,0.07302864,0.05732965,0.0465441,0.30661932,0.0920956,0.048948117,0.06848663,0.16678189,0.04353757
ERR4282740,0.089187495,0.21498168,0.102695175,0.10966195,0.051400207,0.07229702,0.1145721,0.14284474,0.05163503,0.0507246
ERR4282741,0.090184934,0.19862762,0.09045892,0.116893165,0.05253733,0.08501718,0.12334969,0.1383329,0.04830456,0.056293696
ERR4282746,0.08985458,0.20055608,0.092390396,0.11553667,0.05275767,0.082582794,0.12260046,0.13906151,0.04925282,0.05540699
ERR4282747,0.060968593,0.15766355,0.11824659,0.088211566,0.07970353,0.046270154,0.16805679,0.12151088,0.12212793,0.037240475
ERR4282748,0.157684,0.11670365,0.051967625,0.077180356,0.14878677,0.18533315,0.042242076,0.09046452,0.07313719,0.056500707
